url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/seyond/jobs/5451903004	2026-09-05	greenhouse_websearch	Head of Business Development	Seyond	added
https://jobs.lever.co/SublimeSystems/2e608cfc-faa8-455e-9c79-5c5f718cfff9	2026-09-05	lever_websearch	Head of Partnership Development	Sublime Systems	added
https://jobs.lever.co/zerotier/5e77faa3-c7f3-4f2c-88b0-337eedadd2a1	2026-09-05	lever_websearch	Director / Senior Director of Business Development & Partnerships	ZeroTier	added
https://jobs.lever.co/tunnl-data/c0248aa6-9615-429b-8ff4-caf2da8ab14e	2026-09-05	lever_websearch	VP, Partnerships	Tunnl	added
https://jobs.lever.co/versapay/716b83a5-b560-431e-a7f0-e3c68ea35408	2026-09-05	lever_websearch	VP of Strategic Partnerships & Alliances	Versapay	added
https://jobs.lever.co/xage-security/9ee89db6-8911-4d63-b81a-696074525732	2026-09-05	lever_websearch	Senior Director of Partnerships and Business Development	Xage Security	added
https://jobs.lever.co/chownow/39240ae6-0afc-4a7c-91c6-4233475c52d9	2026-09-05	lever_websearch	Director, Business Development	ChowNow	added
https://jobs.lever.co/airalo/558c2b51-7e7d-42a3-8cd9-62f0025f3c70	2026-09-05	lever_websearch	Partnerships Director - APAC	Airalo	added
https://jobs.ashbyhq.com/careers.azx.io/cb7929d3-48aa-4836-bb41-0c1e4192b61c	2026-09-05	ashby_websearch	Director/VP of GTM	AZX	added
https://jobs.ashbyhq.com/Outrival/de8fdafd-32d3-4509-8b83-6f2fbe199027	2026-09-05	ashby_websearch	Director of Enterprise GTM	Outrival	added
https://jobs.ashbyhq.com/alchemy/a21dafd1-efe9-46ce-bd16-42d38b2efc8b	2026-09-05	ashby_websearch	Head of GTM	Alchemy	added
https://jobs.ashbyhq.com/Tabs/a133c500-167f-4092-997f-e1572fdd2505	2026-09-05	ashby_websearch	Head of GTM Strategy	Tabs	added
https://jobs.ashbyhq.com/electronx/89dd87f6-e949-4ca1-9e8d-42cdaf65e34f	2026-09-05	ashby_websearch	Head of GTM & Revenue	ElectronX	added
https://jobs.ashbyhq.com/notion/83ef2eda-2f8b-42e9-a0ae-fa55c5628b26	2026-09-05	ashby_websearch	Head of GTM Operations	Notion	added
https://jobs.ashbyhq.com/abridge/2ffdc810-4b98-4d43-b068-47034a9f82bf	2026-09-05	ashby_websearch	Director, GTM Strategy + Pricing	Abridge	added
